"MAXDN" "ATS7p" "RDF060m" "RDF050v" "Vp" "nROH" "B02[O-F]" "B03[C-N]" "F03[O-Cl]" "F05[C-F]"
"1" 1.75 0 0 0 0.838 0 0 0 0 0
"2" 0.156 0 0.121 1.259 8.932 0 0 0 0 0
"3" 0.145 0 0.129 2.742 12.164 0 0 0 0 0
"4" 0.139 0 0.127 4.176 16.14 0 0 0 0 0
"5" 0.135 0.693 0.127 5.616 20.493 0 0 0 0 0
"6" 0.133 1.099 0.127 7.059 25.614 0 0 0 0 0
"8" 0.435 0 0.103 1.71 12.014 0 0 0 0 0
"9" 0.398 0 0.085 1.77 11.434 0 0 0 0 0
"10" 0.384 0 0.016 1.067 15.892 0 0 0 0 0
"11" 0.429 0 0.141 3.299 21.259 0 0 0 0 0
"13" 0.429 1.386 0.14 6.183 33.676 0 0 0 0 0
"14" 0.708 0 0 0.173 10.532 0 0 0 0 0
"16" 0.491 0 0.161 2.537 17.471 0 0 0 0 0
"17" 0 0 0 0 2.89 0 0 0 0 0
"18" 0.287 0 0 0.044 8.669 0 0 0 0 0
"20" 0.297 0 0.013 0.762 10.866 0 0 0 0 0
"21" 0.33 0 0.023 1.284 13.695 0 0 0 0 0
"22" 0.353 0 0.299 3.346 17.422 0 0 0 0 0
"23" 0.68 0 0.426 4.399 20.925 0 0 0 0 0
"24" 0.141 0 0.016 0.773 14.966 0 0 0 0 0
"25" 0 0 0 0 1.645 0 0 0 0 0
"26" 0.25 0 0 0 3.363 0 0 0 0 0
"27" 0.306 0.693 0.638 4.899 19.358 0 0 0 0 0
"30" 0.361 0 0 0.004 4.535 0 0 0 0 0
"32" 3.25 0 0 0 1.208 0 0 0 0 0
"34" 1.306 0 0 0 2.876 0 0 0 0 0
"35" 2.083 0 0 0 4.055 0 0 0 0 0
"38" 1.556 0 0 0 5.003 0 0 0 0 0
"41" 1.739 0 0 0 6.571 0 0 0 0 0
"42" 2.526 0 0 0 7.817 0 0 0 0 0
"43" 2.006 0 0 0 7.75 0 0 0 0 0
"44" 2.802 0 0 0 8.993 0 0 0 0 0
"45" 3.1 0 0 0 10.309 0 0 0 0 0
"46" 0.708 0 0 0 5.482 0 0 0 0 0
"48" 1.211 0 0 0 7.151 0 0 0 0 0
"49" 0.625 0 0 0 3.833 0 0 0 0 0
"50" 0.451 0 0 0 5.237 0 0 0 0 0
"51" 0.368 0 0 0.35 6.187 0 0 0 0 0
"52" 0.688 0 0 0 6.338 0 0 0 0 0
"53" 2.278 0 0 0 2.09 0 0 0 0 0
"55" 1.743 0 0 0 4.606 0 0 0 0 0
"56" 1.403 0 0 0 5.146 0 0 0 0 0
"57" 3.306 0 0 0 5.344 0 0 0 0 0
"58" 0.792 0 0 0 4.832 0 0 0 0 0
"59" 5.443 0 0 0 4.072 0 0 0 0 0
"60" 5.719 0 0 0 5.761 0 0 0 0 0
"61" 3.5 0 0 0 1.864 0 0 0 0 0
"62" 0.778 0 0 0 2.764 0 0 0 0 0
"63" 1.556 0 0 0 4.173 0 0 0 0 0
"64" 0.762 0 0 0 4.048 0 0 0 0 0
"65" 0.762 0 0 0 3.579 0 0 0 0 0
"66" 1.577 0 0 0 5.079 0 0 0 0 0
"69" 3.522 0 0 0 3.072 0 0 0 0 0
"70" 0.935 0 0 0 5.383 0 0 0 0 0
"71" 1.181 0 0 0 4.777 1 0 0 0 0
"72" 1.5 0 0 0 4.768 1 0 0 0 0
"74" 1.194 0 0 0.002 7.076 1 0 0 0 0
"75" 1.75 0 0 0 6.833 1 0 0 0 0
"76" 1.145 0 0.072 2.118 10.066 1 0 0 0 0
"77" 1.169 0 0.001 0.029 9.481 1 0 0 0 0
"78" 1.708 0 0 0.119 9.294 1 0 0 0 0
"79" 1.5 0 0 0 4.008 0 0 0 0 0
"80" 1.412 0 0 0.054 6.19 0 0 0 0 0
"81" 1.377 0 0.143 1.137 8.993 0 0 0 0 0
"83" 1.349 0 0.131 3.742 16.082 0 0 0 0 0
"84" 1.912 0 0 0 5.868 0 0 0 0 0
"85" 1.877 0 0.003 0.242 9.291 0 0 0 0 0
"87" 1.88 0 0.011 0.632 12.798 0 0 0 0 0
"88" 1.849 0 0.653 2.112 16.335 0 0 0 0 0
"89" 1.862 0 0.871 2.112 16.55 0 0 0 0 0
"91" 1.851 0 0.299 0.952 21.18 0 0 0 0 0
"93" 1.208 0 0 0.186 10.256 0 0 0 0 0
"94" 1.2 0 0.017 1.072 15.278 0 0 0 0 0
"95" 1.167 0 0 0.562 13.192 0 0 0 0 0
"97" 0.5 0 0 0 2.04 0 0 0 0 0
"98" 1.394 0 0 0 3.669 0 0 1 0 0
"99" 5.568 0 0 0 6.684 0 0 0 0 0
"100" 6 0 0 0 5.189 0 0 0 0 0
"101" 5.492 0 1.079 0.9 8.666 0 0 0 0 3
"104" 6.885 0 0 0.326 9.837 0 1 0 0 0
"105" 4.677 0 0.171 0.346 10.784 0 1 0 2 0
"108" 0.583 0 0 0 1.632 0 0 0 0 0
"109" 0 0 0 0.265 5.568 0 0 0 0 0
"111" 0.36 0 0.054 1.675 12.608 0 0 0 0 0
"112" 0.299 0 0.008 0.262 11.308 0 0 0 0 0
"114" 0.337 0 0.007 0.331 11.64 0 0 0 0 0
"115" 0.321 0 0.029 1.801 15.381 0 0 0 0 0
"116" 0.957 0 0.286 5.585 19.211 0 0 0 0 0
"117" 0.493 0 0.018 0.873 10.377 0 0 0 0 0
"118" 0.477 0 0.071 2.286 14.653 0 0 0 0 0
"119" 0.486 0 0.019 0.922 13.832 0 0 0 0 0
"121" 5.523 0 2.961 1.598 10.981 0 0 0 0 3
"122" 0.375 0 0 0 3.606 0 0 0 0 0
"7" 0.131 1.386 0.127 8.502 31.097 0 0 0 0 0
"12" 0.429 1.099 0.129 6.126 26.505 0 0 0 0 0
"15" 0.728 0 0.057 2.107 17.234 0 0 0 0 0
"19" 0 0 0 0.266 8.011 0 0 0 0 0
"28" 0.302 1.099 0.63 6.339 24.094 0 0 0 0 0
"29" 0.299 1.386 0.666 7.768 29.664 0 0 0 0 0
"31" 0.648 0 0 0.04 6.708 0 0 0 0 0
"33" 0.528 0 0 0 1.861 0 0 0 0 0
"36" 2.861 0 0 0 5.428 0 0 0 0 0
"37" 0.778 0 0 0 3.499 0 0 0 0 0
"39" 0.943 0 0 0 4.903 0 0 0 0 0
"40" 2.333 0 0 0 6.797 0 0 0 0 0
"47" 1.028 0 0 0 5.462 0 0 0 0 0
"54" 0.965 0 0 0 3.358 0 0 0 0 0
"67" 1.765 0 0 0 6.129 0 0 0 0 0
"68" 0.438 0 0 0 3.353 0 0 0 0 0
"73" 1.156 0 0.023 0.805 7.164 1 0 0 0 0
"82" 1.38 0 0.135 1.584 12.142 0 0 0 0 0
"86" 1.859 0 0.548 1.543 12.277 0 0 0 0 0
"90" 1.842 0.898 0.773 3.3 20.222 0 0 0 0 0
"92" 0.656 0 0.002 0.209 9.256 0 0 0 0 0
"96" 0.688 0 0.006 0.061 6.74 0 0 0 0 0
"102" 5.879 0 0 0.233 9.295 0 1 0 1 0
"103" 6.196 0 0.005 0.305 8.748 0 1 0 0 0
"106" 2.319 0 0 0.318 6.138 0 0 1 0 0
"107" 2.333 0 0 0 6.188 0 0 0 0 0
"110" 0.345 0 0.004 0.246 8.487 0 0 0 0 0
"113" 0.329 0 0.037 1.721 12.379 0 0 0 0 0
"120" 0.873 0 0 0.232 7.286 0 0 0 0 0
