"TI2" "IC3" "EEig02r" "EEig09r" "BEHv6" "SP14" "RDF040e" "RDF045e" "R6p" "RNCG"
"1" 1.333 -999 0 0 0 0 0 0 0 0.786
"2" 2.094 2.352 1.618 0 0.298 0.029 0.958 0.611 0.053 0.235
"3" 2.488 2.446 2 0 1.287 0.496 1.498 0.805 0.111 0.2
"4" 2.885 2.566 2.247 0 1.458 2.062 2.057 0.971 0.145 0.174
"5" 3.284 2.565 2.414 0 1.657 4.082 2.595 1.14 0.162 0.154
"6" 3.685 2.531 2.532 0 1.857 5.865 3.157 1.316 0.172 0.138
"8" 2.052 3.009 2 0 1.116 0.032 3.356 2.844 0.097 0.201
"9" 1.745 2.709 1.618 0 1.085 0.029 4.701 2.651 0.043 0.201
"10" 2.195 3.382 2.1 0 1.517 0.024 5.378 7.867 0.163 0.176
"11" 2.999 3.383 2.564 0 1.709 1.348 3.824 8.121 0.198 0.155
"13" 3.888 3.367 2.768 -0.897 2.209 5.173 4.846 8.41 0.191 0.126
"14" 1.372 2.32 1.428 0 0.589 0.001 4.885 1.111 0 0.205
"16" 1.866 1.985 2.732 0 1.825 0.04 13.325 7.762 0.157 0.156
"17" 0.444 0.918 0 0 0.298 0 0 0 0 0.333
"18" 0.956 2.795 2.139 0 1.083 0.001 6.689 3.684 0 0.218
"20" 0.975 2.856 2.414 0 1.405 0.004 6.415 3.146 0.03 0.192
"21" 0.854 2.855 2.414 0 1.413 0.009 8.999 6.425 0.055 0.169
"22" 1.06 3.18 3.077 -1 1.976 0.191 8.83 8.564 0.125 0.15
"23" 1.726 2.88 3 -0.768 2.414 0.124 13.27 10.774 0.236 0.135
"24" 0.912 3.008 3 -0.618 2.198 0.034 11.236 10.164 0.081 0.119
"25" 1 0 0 0 0 0 0 0 0 0.5
"26" 1.333 2.156 0 0 0.298 0 0.28 0 0 0.391
"27" 3.284 3.72 2.414 0 1.545 3.772 5.654 2.663 0.158 0.166
"30" 1.707 1.922 1 0 0.298 0 1.097 0.961 0 0.302
"32" 1.333 -999 -0.3 0 0 0 0 0 0 0.5
"34" 1.333 -999 -0.6 0 0 0 0 0 0 0.402
"35" 1 -999 -0.6 0 0 0 0 0 0 0.258
"38" 1 1.459 -0.228 0 0.298 0 0 0 0 0.527
"41" 1.542 1.918 0.752 0 0.298 0 0 0 0 0.365
"42" 1.372 1.459 0.916 0 0.298 0.003 0.001 0.014 0 0.486
"43" 1.521 0.918 1.4 0 0.514 0.004 0.002 0.005 0 0.209
"44" 1.435 1.459 1.765 0 0.555 0.007 0.001 0.041 0 0.405
"45" 1.411 0 2.4 0 0.999 0.009 0.001 0.092 0 0.168
"46" 1.707 2.446 0.713 0 0.298 0 0.078 0.032 0 0.344
"48" 1.542 2.646 0.876 0 0.298 0 0.08 0.048 0 0.358
"49" 1.333 -999 -0.7 0 0 0 0 0 0 1
"50" 1.707 0.918 0.3 0 0.298 0.012 0 0.24 0 0.434
"51" 1.707 2.446 0.67 0 0.298 0.003 0.013 1.54 0 0.335
"52" 1 1.571 0 0 0.298 0 0.38 0.048 0 0.335
"53" 1.333 -999 -0.461 0 0 0 0 0 0 0.525
"55" 1 -999 -0.6 0 0 0 0 0 0 0.695
"56" 1 -999 -0.634 0 0 0 0 0 0 0.935
"57" 0.8 1.459 -0.116 0 0.298 0 0 0 0 0.462
"58" 1.707 1.918 0.351 0 0.298 0.007 0 1.188 0 0.474
"59" 1.372 1.459 0.98 0 0.298 0.001 1.692 0 0 0.261
"60" 1.435 1.459 1.854 0 0.409 0.002 3.441 0 0 0.26
"61" 1 1 -0.107 0 0 0 0 0 0 0.578
"62" 1.333 1.5 -0.344 0 0 0 0 0 0 0.536
"63" 1 1 -0.228 0 0 0 0 0 0 0.688
"64" 1.707 1 0.4 0 0 0 0 0 0 0.493
"65" 1.707 1 0.4 0 0 0.004 0.004 0.002 0 0.468
"66" 1.542 1.5 0.752 0 0 0.004 0.004 0.003 0 0.591
"69" 1.542 1.5 0.852 0 0 0.001 1.345 0 0 0.568
"70" 1.542 3.096 1.678 0 0.298 0 2.038 1.648 0 0.355
