MWC04 ,  MWC05 ,  X2sol ,  GATS1p ,  EEig10d ,  BELe4 ,  GGI3 ,  SP02 ,  SP08 ,  QXXm ,  V1
2.565 , 2.833 , 0.707 , 0.75 , 0 , 0 , 0 , 1.295 , 0.013 , 0 ,  affinity to blood
3.761 , 4.29 , 1.354 , 0 , 0 , 0.164 , 0.125 , 2.861 , 1.764 , 2.539 ,  affinity to blood
4.078 , 4.654 , 1.707 , 0 , 0 , 0.398 , 0.125 , 3.381 , 3.375 , 2.977 ,  affinity to blood
4.317 , 4.92 , 2.061 , 0 , 0 , 0.602 , 0.125 , 3.828 , 4.758 , 3.594 ,  affinity to blood
4.511 , 5.13 , 2.414 , 0 , 0 , 0.77 , 0.125 , 4.22 , 5.997 , 4.054 ,  affinity to blood
4.673 , 5.303 , 2.768 , 0 , 0 , 0.908 , 0.125 , 4.567 , 7.068 , 4.643 ,  affinity to blood
4.29 , 4.875 , 2.183 , 0 , 0 , 0.633 , 0.25 , 3.034 , 1.937 , 6.334 ,  affinity to blood
4.317 , 4.963 , 1.922 , 0 , 0 , 0.396 , 0.125 , 3.015 , 1.789 , 6.648 ,  affinity to blood
4.533 , 5.187 , 2.302 , 0 , 0 , 0.653 , 0.25 , 3.268 , 1.934 , 13.213 ,  affinity to blood
4.654 , 5.283 , 2.89 , 0 , 0 , 0.761 , 0.25 , 3.81 , 4.362 , 8.762 ,  affinity to blood
4.92 , 5.565 , 3.597 , 0 , 0 , 0.925 , 0.25 , 4.537 , 6.751 , 10.144 ,  affinity to blood
4.635 , 5.252 , 2.914 , 0 , 0 , 0.761 , 0 , 2.744 , 0.54 , 9.698 ,  affinity to blood
4.977 , 5.714 , 3.347 , 0 , 0 , 0.761 , 0.5 , 3.321 , 2.213 , 15.131 ,  gray zone
3.892 , 4.575 , 1.061 , 0 , 0 , 0 , 0 , 1.18 , 0.001 , 2.105 ,  gray zone
4.762 , 5.493 , 2.39 , 0 , 0 , 0.174 , 0.222 , 2.645 , 0.589 , 7.016 ,  gray zone
4.89 , 5.617 , 2.743 , 0 , 0 , 0.61 , 0.188 , 2.979 , 1.088 , 9.959 ,  gray zone
5.153 , 5.932 , 3.239 , 0 , 0 , 0.77 , 0.375 , 3.232 , 1.567 , 15.776 ,  gray zone
5.352 , 6.146 , 3.873 , 0 , 0 , 0.858 , 0.563 , 3.471 , 2.854 , 16.848 ,  gray zone
5.509 , 6.301 , 4.701 , 0 , -2 , 0.889 , 0.688 , 3.781 , 2.974 , 18.533 ,  gray zone
5.938 , 6.858 , 4.592 , 0 , -1.618 , 1.126 , 0.375 , 3.385 , 2.204 , 15.837 ,  gray zone
1.099 , 1.099 , 0 , 0 , 0 , 0 , 0 , 0.631 , 0 , 0.287 ,  gray zone
2.565 , 2.833 , 0.707 , 0 , 0 , 0 , 0 , 1.475 , 0.024 , 0.934 ,  gray zone
4.511 , 5.13 , 2.414 , 0 , 0 , 0.724 , 0.125 , 4.195 , 5.845 , 4.098 ,  gray zone
3.296 , 3.761 , 1 , 0 , 0 , 0 , 0 , 2.175 , 0.368 , 1.02 ,  gray zone
2.565 , 2.833 , 0 , 1.5 , 0 , 0 , 0 , 1.339 , 0.008 , 2.082 ,  affinity to liver
2.565 , 2.833 , 1.591 , 1.5 , 0 , 0 , 0 , 1.763 , 0.083 , 4.282 ,  affinity to liver
3.611 , 4.007 , 3.897 , 2 , 0 , 0 , 0 , 2.233 , 0.214 , 14.094 ,  affinity to liver
3.611 , 4.007 , 3.031 , 1 , 0 , 0 , 0 , 2.155 , 0.16 , 14.413 ,  affinity to liver
4.007 , 4.575 , 3.136 , 1.25 , 0 , 0 , 0 , 2.566 , 0.403 , 21.305 ,  affinity to liver
4.635 , 5.252 , 5.496 , 1.5 , 0 , 0 , 0 , 2.937 , 0.958 , 28.504 ,  affinity to liver
4.466 , 5.142 , 4.598 , 1.5 , 0 , 0 , 0 , 2.885 , 1.097 , 28.055 ,  affinity to liver
4.934 , 5.666 , 6.839 , 1.75 , 0 , 0 , 0 , 3.15 , 1.371 , 38.062 ,  affinity to liver
5.273 , 6.075 , 9 , 2 , 0 , 0 , 0 , 3.359 , 1.544 , 48.62 ,  affinity to liver
3.296 , 3.761 , 1.25 , 0.667 , 0 , 0 , 0 , 2.201 , 0.205 , 9.376 ,  affinity to liver
4.007 , 4.575 , 2.499 , 0.833 , 0 , 0 , 0 , 2.512 , 0.347 , 20.746 ,  affinity to liver
2.565 , 2.833 , 2.828 , 1.5 , 0 , 0 , 0 , 1.915 , 0.165 , 10.541 ,  affinity to liver
3.296 , 3.761 , 2 , 1 , 0 , 0 , 0 , 2.553 , 1.319 , 9.757 ,  affinity to liver
3.296 , 3.761 , 1.5 , 0.667 , 0 , 0 , 0 , 2.413 , 0.865 , 3.104 ,  affinity to liver
3.611 , 4.007 , 2.887 , 0.667 , 0 , 0 , 0 , 2.144 , 0.16 , 7.058 ,  affinity to liver
2.565 , 2.833 , 0 , 0.572 , 0 , 0 , 0 , 1.61 , 0.04 , 2.298 ,  affinity to liver
3.611 , 4.007 , 4.763 , 1.142 , 0 , 0 , 0 , 2.295 , 0.276 , 14.559 ,  affinity to liver
3.611 , 4.007 , 5.774 , 1.397 , 0 , 0 , 0 , 2.348 , 0.338 , 22.536 ,  affinity to liver
4.394 , 4.86 , 3.031 , 0.507 , 0 , 0 , 0 , 2.453 , 0.183 , 18.692 ,  affinity to liver
3.296 , 3.761 , 1.75 , 0.829 , 0 , 0 , 0 , 2.489 , 1.101 , 8.404 ,  affinity to liver
