"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 0 1 0 0 1 1 0
"2" 1 1 0 0 0 0 0 0 0 0
"3" 0 0 1 1 0 1 1 1 0 1
"4" 1 1 1 1 0 0 1 0 1 0
"5" 0 0 1 1 0 0 1 1 0 0
"6" 1 1 0 0 0 0 1 0 0 0
"7" 0 0 1 0 0 0 1 0 1 1
"8" 0 0 0 0 0 0 1 0 0 0
"9" 0 0 1 0 0 0 1 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0
"11" 1 1 0 1 0 0 1 0 0 0
"12" 0 1 1 0 0 0 1 0 0 0
"13" 1 0 0 0 0 0 1 0 0 0
"14" 1 1 1 1 0 0 1 0 1 1
"15" 1 1 1 0 0 0 1 0 0 0
"16" 1 0 0 0 0 0 1 0 1 1
"17" 0 0 0 0 0 0 1 0 0 0
"18" 1 1 0 0 0 0 1 0 0 0
"19" 0 1 1 0 0 0 1 0 1 1
"20" 1 0 1 0 0 0 1 0 0 0
---
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 0 1 0 0 0 0 0 1 1
"2" 1 1 1 0 0 0 0 0 0 1
"3" 1 1 1 0 1 0 0 0 1 0
"4" 0 1 0 1 0 1 0 1 1 0
"5" 1 0 1 0 0 1 1 0 0 0
"6" 0 0 1 0 0 0 1 1 1 0
"7" 0 1 1 0 0 0 1 1 0 0
"8" 0 0 0 1 0 0 1 1 1 0
"9" 0 1 0 1 0 0 1 1 1 0
"10" 1 1 1 0 0 0 1 1 0 0
"11" 1 0 1 0 0 0 1 0 0 0
"12" 1 0 1 0 0 0 1 1 0 0
"13" 0 0 0 0 0 0 1 1 1 0
"14" 1 0 1 0 1 0 1 0 0 0
"15" 0 0 1 0 0 0 0 0 1 1
"16" 0 0 1 0 0 0 1 1 0 0
"17" 0 0 1 0 0 0 1 0 0 0
"18" 1 1 1 0 0 0 1 0 0 0
"19" 0 0 1 0 0 0 0 0 0 0
"20" 1 0 1 0 0 0 1 1 1 0
