0 0 1 0 1;;;ALOGP;AAC;4;;
0 0 1 0 0;;;AAC;;;;
0 0 0 0 0;;;AEigm;;;;
1 0 1 0 0;;;AMW;;;;
0 0 0 0 0;;;ATS1v;ADDD        ;1;;
0 0 1 1 0;;;ATS2e;AEigm;3;;
0 0 0 0 0;;;ATS4v   ;;;;
0 0 0 1 0;;;ATS8v ;;;;
0 0 0 0 0;;;BEHm3;ALOGP;2;;
0 0 1 0 0;;;BEHv5    ;;;;
0 0 0 0 0;;;CIC5;Am          ;1;;
0 0 0 0 0;;;DP06;AMW;4;;
0 1 0 0 1;;;E1e      ;;;;
0 0 0 0 1;;;E3s       ;;;;
0 0 0 0 0;;;EEig01d  ;;;;
0 0 0 0 0;;;EEig06d   ;AROM        ;3;;
1 0 0 0 0;;;EEig06x;;;;
0 0 0 0 0;;;EEig07x;;;;
0 0 0 0 0;;;EEig09d;As          ;1;;
0 0 0 0 0;;;EPS0;ATS1p       ;1;;
0 0 0 0 0;;;ESpm03r;ATS1v;2;;
0 0 0 0 0;;;ESpm07d      ;;;;
0 0 0 0 0;;;ESpm08r   ;ATS2e;3;;
1 0 0 0 0;;;ESpm09r;;;;
0 0 0 0 0;;;ESpm15x;;;;
0 0 0 0 0;;;F01[C-C];ATS4v;3;;
0 0 0 0 0;;;G1m;;;;
0 0 0 0 0;;;GATS1e    ;;;;
0 0 0 0 0;;;GATS2e    ;ATS6m       ;1;;
0 0 0 0 0;;;GATS2m;ATS8v;3;;
0 0 0 0 1;;;GATS4m;;;;
0 0 0 0 0;;;H1u       ;;;;
0 0 0 0 0;;;H3v          ;B02[C-Cl]   ;4;;
0 0 0 0 0;;;H6v;;;;
0 0 0 0 0;;;Har;;;;
0 0 0 1 0;;;HATS1p;;;;
0 0 0 0 0;;;HATS3v    ;B03[C-O]    ;1;;
0 0 0 0 0;;;HGM;B06[C-C]  ;2;;
0 0 1 0 0;;;IC1;;;;
0 0 0 0 0;;;JGI3;BEHe1       ;1;;
1 0 0 0 0;;;Jhetv;BEHm3;3;;
0 0 0 0 0;;;JhetZ     ;;;;
0 0 0 0 1;;;MATS6m;;;;
0 0 0 0 0;;;MAXDN;BEHp5       ;4;;
0 0 0 0 0;;;Me;;;;
0 0 0 0 0;;;Mor01e;;;;
0 0 0 0 0;;;Mor02e;;;;
0 0 0 0 0;;;Mor02v;BELm8       ;1;;
0 0 0 1 0;;;Mor04m;BELv4     ;1;;
0 0 0 0 0;;;Mor11v;BIC5      ;1;;
0 0 0 0 0;;;Mor16v;Br-093    ;1;;
0 1 0 0 0;;;Mor18p;C-010       ;3;;
1 0 1 0 0;;;Mor19u;;;;
0 0 0 0 0;;;Mor20m;;;;
0 0 0 0 0;;;Mor23u    ;C-018       ;1;;
0 0 0 0 0;;;Mor26e   ;C-020       ;3;;
0 0 1 0 0;;;Mor29p;;;;
0 0 0 0 0;;;Mor29u;;;;
0 0 0 0 0;;;Mor30m;CIC4        ;1;;
0 0 0 0 0;;;Mor31e;CIC5;3;;
0 0 0 0 0;;;Ms;;;;
0 0 0 0 0;;;Mv;;;;
0 0 1 0 0;;;nBM  ;Cl-086      ;1;;
0 0 0 0 0;;;nBnz          ;Cl-087      ;3;;
0 1 1 0 0;;;nBT;;;;
0 0 0 0 0;;;nC        ;;;;
0 0 0 1 0;;;NCIC;DISPm       ;3;;
0 0 0 0 0;;;nH;;;;
1 0 0 0 0;;;P2u;;;;
0 1 0 0 0;;;piPC05;DP06;1;;
0 1 0 0 1;;;Pol;E1e         ;3;;
0 0 0 0 0;;;PW3;;;;
0 0 0 0 0;;;PW4;;;;
0 0 0 0 0;;;Qindex;E3s         ;3;;
0 0 0 0 0;;;QXXv;;;;
0 0 0 0 0;;;QYYv;;;;
0 0 0 0 0;;;QZZm;EEig01d;4;;
0 0 0 0 0;;;QZZv;;;;
0 0 0 0 0;;;R2u;;;;
0 0 0 0 0;;;R5u+ ;;;;
0 0 0 1 0;;;R8v    ;EEig06d;4;;
0 0 0 0 0;;;R2e+ ;;;;
0 0 0 0 1;;;R7e+    ;;;;
0 0 0 0 1;;;R7p;;;;
1 0 0 0 0;;;RBN;EEig06x;3;;
0 0 0 0 1;;;RCI;;;;
0 0 0 0 0;;;RDF015v;;;;
0 0 0 0 0;;;RDF020e;EEig07x;1;;
0 0 0 0 0;;;RDF030u;EEig09d;3;;
0 0 1 0 0;;;RDF040u;;;;
0 0 0 0 0;;;RDF080p;;;;
0 0 0 0 0;;;RTU+;Eig1p       ;1;;
0 0 0 0 0;;;RTv;Eig1v       ;1;;
0 0 0 0 0;;;S1K;EPS0;3;;
0 0 0 0 0;;;Se;;;;
0 0 0 0 0;;;SP09;;;;
0 0 0 0 0;;;SP12;ESpm01d     ;1;;
0 0 0 0 0;;;SP13;ESpm03r;3;;
0 0 0 0 0;;;SP15;;;;
0 0 0 0 1;;;SP19;;;;
0 0 0 0 0;;;SPH;ESpm05r     ;1;;
0 0 0 0 0;;;Ss ;ESpm07d;3;;
0 0 0 0 0;;;T(O..Cl);;;;
0 1 0 0 0;;;TI1;;;;
0 0 0 1 0;;;Ui;ESpm08r;3;;
0 0 0 0 0;;;Vs;;;;
0 0 0 0 0;;;w;;;;
0 0 0 0 0;;;X1v     ;ESpm09r;3;;
0 0 0 0 0;;;X3sol;;;;
0 0 1 0 0;;;X4Av;;;;
0 0 0 0 0;;;Xt;ESpm11u   ;1;;
0 0 0 0 0;;;Yindex        ;ESpm15x;1;;
0 0 0 0 0;;;ZM2V;F01[C-C];1;;
0 0 0 0 0;;;;F02[C-C]    ;4;;
0 0 0 0 0;;;;;;;
0 1 0 0 1;;;;;;;
1 0 0 0 0;;;;;;;
0 1 0 0 0;;;;F03[O-Cl] ;1;;
0 0 0 0 0;;;;F03[O-F]    ;1;;
0 0 0 0 0;;;;F06[C-C]    ;3;;
0 1 0 0 0;;;;;;;
0 0 0 1 1;;;;;;;
0 1 0 0 1;;;;F09[C-C];3;;
0 1 1 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;G1m       ;3;;
0 0 0 0 0;;;;;;;
0 0 1 0 1;;;;;;;
0 0 0 0 0;;;;G2u         ;1;;
0 0 0 0 0;;;;G3e       ;1;;
0 0 0 0 0;;;;GATS1e;3;;
0 0 0 0 0;;;;;;;
0 0 1 0 0;;;;;;;
0 0 0 0 0;;;;GATS2e;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;GATS2m;1;;
0 0 0 0 0;;;;GATS4m;3;;
0 0 0 0 0;;;;;;;
0 1 0 0 0;;;;;;;
0 0 0 0 0;;;;GATS4v      ;1;;
0 0 0 0 0;;;;GGI1        ;1;;
0 0 0 0 0;;;;H-049       ;1;;
0 0 0 0 0;;;;H-054       ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 1;;;;;;;
0 0 0 0 0;;;;H0e         ;1;;
0 0 1 0 0;;;;H1u         ;3;;
0 1 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;H3D       ;1;;
0 0 0 0 0;;;;H3v         ;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 1;;;;;;;
0 0 0 1 0;;;;H6v;1;;
0 0 0 0 0;;;;H7p         ;1;;
0 0 0 0 0;;;;Har;3;;
0 0 0 0 0;;;;;;;
0 0 0 0 0;;;;;;;
