"ALOGP" "Mor29u" "Pol" "Mv"
"1" 2.653 -0.028 0.51 0.96
"2" 3.109 -0.046 0.51 0.96
"3" 3.565 -0.053 0.51 0.96
"4" 4.021 -0.065 0.51 0.96
"5" 4.477 -0.08 0.52 0.96
"6" 4.934 -0.114 0.52 0.96
"7" 2.904 -0.204 0.51 0.96
"8" 3.361 -0.237 0.51 0.96
"9" 4.273 -0.115 0.52 0.96
"10" 2.654 -0.152 0.51 0.96
"11" 3.362 -0.008 0.51 0.96
"12" 1.369 -0.012 0.53 0.96
"13" 2.533 -0.376 0.53 0.96
"14" 2.737 -0.313 0.53 0.96
"15" 2.989 -0.267 0.53 0.96
"16" 3.241 -0.42 0.53 0.96
"17" 3.903 0.014 0.53 0.96
"18" 3.001 -0.618 0.57 0.96
"19" 0.947 -0.04 0.53 0.96
"20" 1.35 -0.055 0.53 0.96
"21" 3.631 -0.113 0.53 0.96
"22" 1.415 -0.083 0.58 0.97
"23" 1.861 -0.17 0.57 0.96
"24" 0.477 0.113 0.48 1.16
"25" 1.073 -0.012 0.72 1.08
"26" 1.617 -0.076 0.86 1.15
"27" 3.585 -0.137 1 1.21
"28" 1.251 -0.06 0.65 1.04
"29" 1.51 -0.077 0.65 1.04
"30" 2.029 -0.154 0.74 1.08
"31" 1.955 -0.068 0.74 1.08
"32" 2.443 -0.153 0.82 1.12
"33" 2.399 -0.117 0.82 1.12
"34" 2.888 -0.129 0.91 1.16
"35" 3.376 -0.051 1 1.2
"36" 1.718 -0.101 0.55 0.99
"37" 1.572 -0.034 0.55 0.99
"38" 1.887 -0.043 0.62 1.02
"39" 1.496 0.032 0.87 1.05
"40" 1.801 -0.132 0.75 1.01
"41" 1.864 -0.076 0.59 0.98
"42" 1.717 -0.103 0.59 0.98
"43" 0.775 0.038 0.6 1.12
"44" 1.284 0.005 0.8 1.06
"45" 1.821 -0.045 0.94 1.13
"46" 2.025 -0.012 1.01 1.11
"47" 1.833 -0.091 0.66 1.1
"48" 1.655 -0.111 0.7 1.03
"49" 1.853 -0.003 0.6 1.19
"50" 2.298 -0.043 0.69 1.23
"51" 1.114 -0.041 0.57 1.13
"52" 1.688 -0.095 0.77 1.07
"53" 1.057 -0.038 0.77 1.07
"54" 1.057 -0.109 0.77 1.07
"55" 1.743 -0.079 0.88 1.12
"56" 2.429 -0.075 1 1.18
"57" 1.086 -0.033 0.71 1
"58" 1.169 -0.064 0.69 1.19
"59" 0.515 -0.024 0.49 0.99
"60" 0.971 -0.06 0.5 0.98
"61" 0.834 0.055 0.5 0.98
"62" 0.573 -0.03 0.5 0.98
"63" 1.223 -0.088 0.51 0.98
"64" 1.097 -0.055 0.51 0.98
"65" -0.244 -0.06 0.53 1
"66" 1.792 -0.028 0.53 0.98
"67" 0.747 -0.141 0.53 1
"68" 1.35 -0.085 0.53 1
"69" 1.213 -0.09 0.53 1
"70" 1.806 -0.068 0.53 0.99
"71" 1.602 -0.13 0.53 0.99
"72" 0.748 -0.103 0.5 0.98
"73" 0.982 -0.012 0.51 0.98
"74" 1.331 -0.215 0.51 0.98
"75" 1.506 -0.08 0.51 0.98
"76" 0.219 -0.031 0.57 1
"77" -0.131 -0.006 0.53 1.01
"78" -0.158 0.042 0.64 1.04
"79" 2.509 -0.04 0.74 1.22
"80" 2.211 0.015 0.67 1.24
"81" 2.667 -0.006 0.6 1.23
"82" 2.233 0.011 0.55 1.22
"83" 2.143 0.071 0.63 1.13
"84" 1.164 0.036 0.52 1.03
"85" 1.651 -0.001 1.06 1.05
"86" 1.83 0.102 0.65 0.97
"87" 2.316 0.072 0.63 0.97
"88" 2.772 0.117 0.61 0.97
"89" 2.802 -0.053 0.61 0.97
"90" 2.802 0.127 0.61 0.97
"91" 2.802 -0.03 0.61 0.97
"92" 3.23 -0.011 0.59 0.97
"93" 2.868 0.016 0.63 0.97
"94" 2.868 -0.106 0.63 0.97
"95" 0.247 0.051 0.63 1.22
"96" 2.904 -0.259 0.51 0.96
"97" 3.817 -0.102 0.51 0.96
"98" 4.729 -0.058 0.52 0.96
"99" 3.408 -0.309 0.51 0.96
"100" 3.493 -0.302 0.53 0.96
"101" 4.087 -0.144 0.53 0.96
"102" 4.543 -0.162 0.53 0.96
"103" 0.846 0.017 0.58 1.02
"104" 1.194 -0.009 0.56 1
"105" 1.002 -0.053 0.65 1.02
"106" 0.515 -0.043 0.57 1
"107" 0.368 -0.009 0.49 0.99
"108" 1.427 -0.052 0.51 0.98
"109" 0.423 -0.068 0.53 0.99
"110" 0.879 -0.032 0.53 0.98
"111" 1.131 -0.115 0.53 0.98
"112" 0.021 0.032 0.53 1.03
"113" 0.37 -0.039 0.53 1.01
"114" 0.894 -0.064 0.53 1
"115" 1.142 0.043 0.56 1.11
"116" 2.534 0.087 0.6 1.23
"117" 1.018 0.052 0.52 1.03
"118" 3.289 -0.027 0.6 0.97
"119" 2.382 -0.036 0.65 0.97
"120" 2.494 -0.001 0.71 1
"121" 3.437 -0.112 0.7 1.09
"122" 0.934 0.039 0.63 1.01
