"Ms" "SRW04" "TIC5" "ESpm03x" "VRD1" "Mor31v" "Mor08p" "R2e" "nCRX3" "F08[C-C]"
"1" 5.33 8 -999 3.932 1.762 0.003 0.075 0.334 0 0
"2" 1.7 20 24.806 3.135 3.693 0.224 0.241 1.801 0 0
"3" 1.67 26 43.943 3.401 4.67 0.272 0.231 1.83 0 0
"4" 1.64 32 61.261 3.611 5.652 0.317 0.242 1.842 0 0
"5" 1.63 38 74.702 3.784 6.638 0.354 0.225 1.862 0 0
"6" 1.61 44 91.372 3.932 7.626 0.395 0.278 1.867 0 1
"8" 1.72 30 45.785 3.738 4.688 0.273 0.224 1.84 0 0
"9" 1.72 30 37.785 3.738 4.694 0.242 0.265 1.77 0 0
"10" 1.69 36 78.829 3.892 5.672 0.336 0.375 1.981 0 0
"11" 1.67 42 89.265 4.025 6.647 0.357 0.221 1.935 0 0
"13" 1.63 54 125.735 4.248 8.621 0.45 0.184 1.964 0 2
"14" 1.79 38 16.226 4.277 4.717 0.189 0.142 1.739 0 0
"16" 1.75 50 42.67 4.382 6.682 0.382 0.277 1.854 0 0
"17" 1.5 18 -999 3.332 2.598 0.063 -0.013 1.706 0 0
"18" 1.56 40 50.304 4.007 5.589 0.199 -0.122 1.965 0 0
"20" 1.55 46 65.484 4.127 6.576 0.303 0.036 2.011 0 0
"21" 1.58 56 68.529 4.394 7.59 0.355 0.063 1.96 0 0
"22" 1.61 66 108.117 4.605 8.597 0.386 -0.039 1.95 0 0
"23" 1.61 76 91.923 4.828 9.589 0.426 -0.301 1.98 0 0
"24" 1.43 96 90.211 4.977 11.473 0.203 -1.335 2.213 0 0
"25" 3 2 -999 2.197 0.816 0.071 0.278 0.75 0 0
"26" 2.33 8 -999 2.944 1.762 0.087 0.237 1.461 0 0
"27" 1.81 38 93.284 3.989 6.638 0.324 0.244 1.69 0 0
"30" 2.5 14 0 3.584 2.722 0.068 0.277 0.734 0 0
"32" 5.83 8 -999 2.197 1.762 -0.001 0.125 3.092 0 0
"34" 3.24 8 -999 2.197 1.762 0.056 0.031 2.298 0 0
"35" 3.42 18 -999 3.332 2.751 0.032 0.117 2.391 0 0
"38" 2.89 18 -999 3.332 2.751 0.051 0.255 1.915 0 0
"41" 3.03 24 -999 3.555 3.717 0.06 -0.011 1.902 0 0
"42" 3.2 38 -999 4.277 4.717 0.007 0.088 1.981 1 0
"43" 3.19 34 -999 3.989 4.71 0.06 -0.16 1.933 0 0
"44" 3.31 48 -999 4.511 5.709 0.02 -0.069 2 1 0
"45" 3.4 62 -999 4.852 6.706 0.042 -0.068 2.048 2 0
"46" 2.28 14 -999 2.773 2.722 0.12 0.169 1.877 0 0
"48" 2.61 24 -999 3.555 3.717 0.124 0.094 1.839 0 0
"49" 2.33 8 -999 2.197 1.762 0.041 0.087 2.012 0 0
"50" 2.13 14 -999 2.773 2.722 0.063 0.503 1.749 0 0
"51" 1.94 14 -999 2.773 2.722 0.116 0.301 1.801 0 0
"52" 2.02 18 -999 3.332 2.751 0.093 0.553 1.764 0 0
"53" 4.54 8 -999 2.197 1.762 0.013 0.055 2.644 0 0
"55" 3.08 18 -999 3.332 2.751 0.058 0.216 2.242 0 0
"56" 2.74 18 -999 3.332 2.751 0.075 0.235 2.103 0 0
"57" 3.89 32 -999 4.174 3.749 -0.011 0.257 2.186 1 0
"58" 2.47 14 -999 2.773 2.722 0.068 0.242 1.821 0 0
"59" 5.14 38 -999 4.277 4.717 0.052 -0.095 2.65 1 0
"60" 4.97 48 -999 4.511 5.709 0.027 -0.079 2.604 1 0
"61" 5.17 18 -999 3.714 2.751 0.051 0.104 1.058 0 0
"62" 3.04 8 -999 2.944 1.762 0.059 0.147 0.76 0 0
"63" 3.22 18 -999 3.714 2.751 0.023 0.13 0.789 0 0
"64" 3.06 14 -999 3.367 2.722 0.03 -0.083 0.758 0 0
"65" 3.06 14 -999 3.367 2.722 0.051 -0.088 0.77 0 0
"66" 3.2 24 -999 3.932 3.717 0.022 -0.182 0.787 0 0
"69" 4.76 24 -999 3.932 3.717 0.022 -0.069 1.025 0 0
"70" 2.27 34 27.5 4.159 4.612 0.092 -0.045 1.704 0 0
"71" 2.75 14 9.735 2.773 2.722 0.106 0.229 1.782 0 0
"72" 2.83 18 -999 3.332 2.751 0.112 0.142 1.775 0 0
"74" 2.57 24 8.875 3.555 3.717 0.126 0.163 1.733 0 0
"75" 2.65 32 -999 4.174 3.749 0.163 0.026 1.573 0 0
"76" 2.33 26 57.651 3.401 4.67 0.189 0.179 1.772 0 0
"77" 2.39 30 39.594 3.738 4.688 0.176 0.213 1.913 0 0
"78" 2.46 38 23.318 4.277 4.717 0.205 0.108 1.667 0 0
"79" 3.17 18 -999 3.714 2.751 0.113 0.192 1.745 0 0
"80" 2.83 24 13 3.871 3.717 0.174 0.239 1.735 0 0
"81" 2.61 30 38.609 4.007 4.688 0.218 0.167 1.728 0 0
"83" 2.33 42 78.287 4.234 6.647 0.315 0.157 1.784 0 0
"84" 3.23 24 11 3.871 3.717 0.035 0.197 1.822 0 0
"85" 2.94 30 33.783 4.007 4.688 0.101 0.314 1.665 0 0
"87" 2.79 40 37.689 4.304 5.681 0.164 0.253 1.768 0 0
"88" 2.58 42 68.632 4.234 6.647 0.212 0.361 1.768 0 0
"89" 2.63 46 56.438 4.394 6.659 0.151 0.157 1.82 0 0
"91" 2.5 52 75.108 4.477 7.641 0.243 0.3 1.933 0 0
"93" 2.13 38 14.603 4.277 4.717 0.117 0.292 1.805 0 0
"94" 2.04 44 40.856 4.369 5.688 0.187 0.294 1.828 0 0
"95" 2.04 44 48.537 4.369 5.697 0.172 0.286 1.898 0 0
"97" 2.17 18 -999 3.332 2.598 0.02 0.079 2.314 0 0
"98" 2.97 34 7.346 4.454 4.612 0.014 -0.041 1.918 0 0
"99" 4.78 48 -999 4.511 5.709 0.032 0.037 2.501 1 0
"100" 5.33 48 -999 4.511 5.709 -0.006 0.021 2.696 1 0
"101" 4.41 50 31.804 4.564 6.665 0.075 0.12 2.096 1 0
"104" 5.4 90 18.366 5.124 10.654 -0.032 -0.215 2.812 2 0
"105" 4.04 54 17.51 4.585 6.69 0.003 -0.051 2.221 0 0
"108" 3.28 8 -999 3.367 1.762 -0.016 -0.096 0.199 0 0
"109" 2 36 12 4.321 5.555 0.012 -0.178 0.938 0 0
"111" 1.9 52 60.304 4.647 7.579 0.045 -0.28 1.669 0 0
"112" 1.92 56 47.549 4.781 7.59 0.031 0.003 1.549 0 0
"114" 1.92 56 39.549 4.781 7.588 0.022 -0.098 1.564 0 0
"115" 1.89 66 77.974 4.951 8.597 0.022 0.018 1.661 0 0
"116" 1.89 76 68.755 5.077 9.589 0.116 -0.381 1.599 0 0
"117" 2.08 52 54 4.738 7.579 0.001 -0.151 1.246 0 0
"118" 2.04 62 73.956 4.914 8.589 -0.004 -0.174 1.408 0 0
"119" 2.04 62 65.956 4.914 8.587 0.006 -0.087 1.448 0 0
"121" 3.7 86 45.848 5.205 10.593 -0.04 -0.407 2.104 1 0
"122" 2.3 30 20.529 4.141 4.564 -0.1 -0.063 1.024 0 0
"7" 1.6 50 102.49 4.06 8.615 0.428 0.277 1.883 0 2
"12" 1.65 48 108.617 4.143 7.633 0.39 0.206 1.905 0 0
"15" 1.76 54 51.312 4.585 6.679 0.291 0.02 1.862 0 0
"19" 1.5 36 16.529 3.761 5.555 0.257 0.023 2.081 0 0
"28" 1.78 44 109.627 4.111 7.626 0.359 0.243 1.721 0 1
"29" 1.75 50 126.452 4.22 8.615 0.392 0.298 1.739 0 2
"31" 2.33 24 20.237 4.06 3.717 0.096 0.238 1.31 0 0
"33" 3.06 2 -999 0.693 0.816 0.049 0.062 2.233 0 0
"36" 3.54 32 -999 4.174 3.749 -0.025 0.339 2.508 0 0
"37" 2.54 8 -999 2.197 1.762 0.08 0.206 1.875 0 0
"39" 2.81 14 -999 2.773 2.722 0.097 0.045 1.877 0 0
"40" 3.12 32 -999 4.174 3.749 -0.016 0.433 1.986 1 0
"47" 2.36 18 -999 3.332 2.751 0.097 0.299 1.835 0 0
"54" 2.79 8 -999 2.197 1.762 0.044 0.102 2.15 0 0
"67" 3.3 34 -999 4.29 4.71 -0.009 -0.297 0.805 0 0
"68" 2.58 8 -999 2.944 1.762 0.03 0.345 0.71 0 0
"73" 2.5 20 36.697 3.135 3.693 0.156 0.227 1.743 0 0
"82" 2.5 40 42.123 4.304 5.681 0.25 0.031 1.808 0 0
"86" 2.74 36 51.106 4.127 5.665 0.159 0.287 1.764 0 0
"90" 2.46 48 86.532 4.331 7.633 0.236 0.311 1.806 0 0
"92" 2.1 20 21.887 3.135 3.693 0.134 0.412 1.77 0 0
"96" 2.7 20 16.5 3.761 3.693 0.145 0.346 0.766 0 0
"102" 5.15 70 27.02 4.82 8.662 0.001 -0.16 2.628 0 0
"103" 5.15 70 17.51 4.82 8.658 0.002 -0.129 2.762 1 0
"106" 3.5 30 12.622 4.22 4.688 0.144 0.232 1.806 0 0
"107" 3.56 34 -999 4.382 4.71 0.125 0.153 1.791 0 0
"110" 1.95 46 45.848 4.577 6.576 0.02 -0.142 1.444 0 0
"113" 1.92 56 51.549 4.781 7.589 0.017 -0.15 1.574 0 0
"120" 2.25 46 35.02 4.577 6.576 -0.027 -0.177 0.92 0 0
