"Sp" "MW" "Sv" "Ss" "Pol"
"1" 9.57 72.17 8.59 8.5 0.51
"2" 11.33 86.2 10.18 10 0.51
"3" 13.09 100.23 11.78 11.5 0.51
"4" 14.85 114.26 13.38 13 0.51
"5" 16.61 128.29 14.98 14.5 0.52
"6" 18.38 142.32 16.58 16 0.52
"7" 11.33 86.2 10.18 10.33 0.51
"8" 13.09 100.23 11.78 11.83 0.51
"9" 16.61 128.29 14.98 14.83 0.52
"10" 11.33 86.2 10.18 10.75 0.51
"11" 14.85 114.26 13.38 14.08 0.51
"12" 5.28 42.09 4.79 4.5 0.53
"13" 10.57 84.18 9.59 9.33 0.53
"14" 10.57 84.18 9.59 9 0.53
"15" 12.33 98.21 11.18 10.83 0.53
"16" 14.09 112.24 12.78 12.67 0.53
"17" 17.61 140.3 15.98 16.08 0.53
"18" 16.09 136.26 14.78 14.33 0.57
"19" 3.52 28.06 3.2 6 0.53
"20" 5.28 42.09 4.79 7 0.53
"21" 14.09 112.24 12.78 14.5 0.53
"22" 6.28 54.1 5.79 10 0.58
"23" 8.05 68.13 7.39 11.67 0.57
"24" 2.4 52.03 2.42 17.5 0.48
"25" 4.24 84.93 3.6 9.72 0.72
"26" 5.1 119.37 4.3 13.67 0.86
"27" 5.95 153.81 5 17.69 1
"28" 6 98.96 5.2 11.56 0.65
"29" 6 98.96 5.2 11.22 0.65
"30" 6.86 133.4 5.9 15.58 0.74
"31" 6.86 133.4 5.9 15.17 0.74
"32" 7.72 167.84 6.6 19.19 0.82
"33" 7.72 167.84 6.6 19.11 0.82
"34" 8.57 202.28 7.3 23.14 0.91
"35" 9.43 236.72 8 27.17 1
"36" 6.9 78.55 6.09 9.11 0.55
"37" 6.9 78.55 6.09 9.44 0.55
"38" 7.76 112.99 6.79 13.06 0.62
"39" 5.23 173.83 4.36 7 0.87
"40" 6.99 187.86 5.96 8.5 0.75
"41" 7.4 123 6.48 7.75 0.59
"42" 7.4 123 6.48 8.08 0.59
"43" 3.32 68.48 3.01 13.61 0.6
"44" 4.73 129.38 3.98 8.36 0.8
"45" 5.59 163.82 4.68 12.31 0.94
"46" 6.09 208.27 5.07 10.94 1.01
"47" 5.94 116.95 5.31 19.47 0.66
"48" 6.49 143.41 5.58 9.86 0.7
"49" 4.95 118.49 4.83 30.86 0.6
"50" 5.81 152.93 5.53 34.81 0.69
"51" 3.4 64.04 3.42 20.67 0.57
"52" 5.24 96.94 4.6 12.89 0.77
"53" 5.24 96.94 4.6 12.22 0.77
"54" 5.24 96.94 4.6 12.22 0.77
"55" 6.1 131.38 5.3 16 0.88
"56" 6.95 165.82 6 19.78 1
"57" 4.88 106.95 4.28 7.75 0.71
"58" 4.26 98.48 4.12 23.78 0.69
"59" 6.5 60.11 5.9 11 0.49
"60" 8.26 74.14 7.5 12.5 0.5
"61" 8.26 74.14 7.5 12.83 0.5
"62" 8.26 74.14 7.5 13.25 0.5
"63" 10.02 88.17 9.1 14.33 0.51
"64" 10.02 88.17 9.1 14.75 0.51
"65" 5.74 58.09 5.31 12.67 0.53
"66" 12.78 114.21 11.7 18.67 0.53
"67" 9.72 102.15 9.01 19.5 0.53
"68" 11.48 116.18 10.61 20.67 0.53
"69" 11.48 116.18 10.61 21 0.53
"70" 13.24 130.21 12.21 22.17 0.53
"71" 13.24 130.21 12.21 22.5 0.53
"72" 8.26 74.14 7.5 10.5 0.5
"73" 10.02 88.17 9.1 12.75 0.51
"74" 11.78 102.2 10.7 14.25 0.51
"75" 11.78 102.2 10.7 14.25 0.51
"76" 6.74 70.1 6.31 13.5 0.57
"77" 3.98 44.06 3.71 6.5 0.53
"78" 5.22 69.07 5.1 14.83 0.64
"79" 6.31 197.38 5.91 33.44 0.74
"80" 5.39 180.93 5.32 37.33 0.67
"81" 7.05 184.5 7.16 51.53 0.6
"82" 7.82 200.07 8.28 64.83 0.55
"83" 8.09 164.97 7.53 32.31 0.63
"84" 7.2 89.11 6.81 21 0.52
"85" 4.3 76.15 3.18 9.83 1.06
"86" 8.28 78.12 7.79 12 0.65
"87" 10.05 92.15 9.39 13.67 0.63
"88" 11.81 106.18 10.99 15.17 0.61
"89" 11.81 106.18 10.99 15.33 0.61
"90" 11.81 106.18 10.99 15.33 0.61
"91" 11.81 106.18 10.99 15.33 0.61
"92" 15.33 134.24 14.18 18.92 0.59
"93" 12.81 118.19 11.99 18.33 0.63
"94" 12.81 118.19 11.99 18.33 0.63
"95" 1.7 44.02 1.9 16 0.63
"96" 11.33 86.2 10.18 10.33 0.51
"97" 14.85 114.26 13.38 13.33 0.51
"98" 18.38 142.32 16.58 16.33 0.52
