"ALOGP" "Sp" "Mor29u" "MW" "Se" "Pol"
"1" 2.653 9.57 -0.028 72.17 16.3 0.51
"2" 3.109 11.33 -0.046 86.2 19.19 0.51
"3" 3.565 13.09 -0.053 100.23 22.07 0.51
"4" 4.021 14.85 -0.065 114.26 24.95 0.51
"5" 4.477 16.61 -0.08 128.29 27.84 0.52
"6" 4.934 18.38 -0.114 142.32 30.72 0.52
"7" 2.904 11.33 -0.204 86.2 19.19 0.51
"8" 3.361 13.09 -0.237 100.23 22.07 0.51
"9" 4.273 16.61 -0.115 128.29 27.84 0.52
"10" 2.654 11.33 -0.152 86.2 19.19 0.51
"11" 3.362 14.85 -0.008 114.26 24.95 0.51
"12" 1.369 5.28 -0.012 42.09 8.65 0.53
"13" 2.533 10.57 -0.376 84.18 17.3 0.53
"14" 2.737 10.57 -0.313 84.18 17.3 0.53
"15" 2.989 12.33 -0.267 98.21 20.19 0.53
"16" 3.241 14.09 -0.42 112.24 23.07 0.53
"17" 3.903 17.61 0.014 140.3 28.84 0.53
"18" 3.001 16.09 -0.618 136.26 25.07 0.57
"19" 0.947 3.52 -0.04 28.06 5.77 0.53
"20" 1.35 5.28 -0.055 42.09 8.65 0.53
"21" 3.631 14.09 -0.113 112.24 23.07 0.53
"22" 1.415 6.28 -0.083 54.1 9.65 0.58
"23" 1.861 8.05 -0.17 68.13 12.53 0.57
"24" 0.477 2.4 0.113 52.03 5.79 0.48
"25" 1.073 4.24 -0.012 84.93 5.41 0.72
"26" 1.617 5.1 -0.076 119.37 5.74 0.86
"27" 3.585 5.95 -0.137 153.81 6.06 1
"28" 1.251 6 -0.06 98.96 8.3 0.65
"29" 1.51 6 -0.077 98.96 8.3 0.65
"30" 2.029 6.86 -0.154 133.4 8.62 0.74
"31" 1.955 6.86 -0.068 133.4 8.62 0.74
"32" 2.443 7.72 -0.153 167.84 8.95 0.82
"33" 2.399 7.72 -0.117 167.84 8.95 0.82
"34" 2.888 8.57 -0.129 202.28 9.27 0.91
"35" 3.376 9.43 -0.051 236.72 9.59 1
"36" 1.718 6.9 -0.101 78.55 10.86 0.55
"37" 1.572 6.9 -0.034 78.55 10.86 0.55
"38" 1.887 7.76 -0.043 112.99 11.18 0.62
"39" 1.496 5.23 0.032 173.83 5.23 0.87
"40" 1.801 6.99 -0.132 187.86 8.11 0.75
"41" 1.864 7.4 -0.076 123 10.76 0.59
"42" 1.717 7.4 -0.103 123 10.76 0.59
"43" 0.775 3.32 0.038 68.48 5.6 0.6
"44" 1.284 4.73 0.005 129.38 5.32 0.8
"45" 1.821 5.59 -0.045 163.82 5.64 0.94
"46" 2.025 6.09 -0.012 208.27 5.55 1.01
"47" 1.833 5.94 -0.091 116.95 8.81 0.66
"48" 1.655 6.49 -0.111 143.41 8.2 0.7
