"piPC09" "AAC" "ATS6m" "MATS3p" "JGI2" "QYYm" "Mor19v" "R4m" "RTv" "nOHp"
"1" 0 0.918 0 0 0 3.316 0.031 0 0.164 0
"2" 0 0.874 0 1 0.074 20.92 0.451 0.052 3.038 0
"3" 0 0.881 0 1 0.056 35.66 0.533 0.06 3.402 0
"4" 0 0.887 0.693 1 0.044 55.747 0.608 0.06 3.712 0
"5" 0 0.89 1.099 1 0.037 82.574 0.683 0.062 3.992 0
"6" 0 0.894 1.386 1 0.032 116.639 0.753 0.063 4.229 0
"8" 0 0.881 0 1 0.089 24.088 0.584 0.086 3.816 0
"9" 0 0.881 0 1 0.133 21.994 0.622 0.092 3.829 0
"10" 0 0.887 0 1 0.111 25.51 0.587 0.121 4.728 0
"11" 0 0.89 1.099 1 0.063 60.132 0.682 0.081 4.605 0
"13" 0 0.896 1.609 1 0.049 127.657 0.856 0.079 5.077 0
"14" 0 0.881 0 1 0.095 16.431 0.421 0.074 4.219 0
"16" 0 0.89 0 1 0.148 31.795 0.88 0.182 5.15 0
"17" 0 0.918 0 0 0 2.106 0.223 0 2.206 0
"18" 0 0.918 0 1 0.063 13.913 0.534 0.039 4.041 0
"20" 0 0.918 0 1 0.056 18.87 0.782 0.081 4.651 0
"21" 0 0.918 0 1 0.111 21.845 0.89 0.126 5.056 0
"22" 0 0.918 0 1 0.111 34.452 0.954 0.146 5.386 0
"23" 0 0.918 0 1 0.095 47.321 0.978 0.196 6.104 0
"24" 2.398 0.961 0 1 0.074 34.655 0.625 0.166 6.441 0
"25" 0 0.918 0 0 0 1.41 0.034 0 0.862 0
"26" 0 0.918 0 0 0 4.505 0.15 0.005 1.838 0
"27" 0 0.918 1.099 1 0.037 78.691 0.583 0.07 4.047 0
"30" 0 0.971 0 1 0.111 9.425 0.058 0.017 1.64 0
"32" 0 1.522 0 0 0 3.843 0.014 0 0.654 0
"34" 0 1.522 0 0 0 12.586 0.016 0 1.616 0
"35" 0 1.371 0 0 0 14.094 0.056 0 2.373 0
"38" 0 1.5 0 0 0 15.162 0.126 0 2.753 0
"41" 0 1.561 0 0.667 0.111 28.119 0.048 0 3.571 0
"42" 0 1.5 0 0.5 0.095 38.765 0.124 0 4.409 0
"43" 0 1.5 0 0.5 0.148 37.78 0.037 0 4.38 0
"44" 0 1.299 0 0.4 0.148 44.658 0.119 0 5.294 0
"45" 0 0.811 0 0.333 0.167 58.821 0.18 0 6.294 0
"46" 0 1.241 0 -1 0.111 15.538 0.25 0.087 2.899 0
