"SMTIV" "MPC07" "X3A" "IC2" "EEig09r" "BEHm4" "RCI" "Mor25p" "H3e" "C-007"
"1" 129 0 0 1 0 0 0 0.009 0 0
"2" 74 0 0.354 2.027 0 1.596 0 0.07 0.831 0
"3" 128 0 0.319 2.046 0 1.914 0 0.067 1.114 0
"4" 204 0 0.302 2.024 0 2.181 0 0.057 1.308 0
"5" 306 1 0.291 1.988 0 2.398 0 0.046 1.491 0
"6" 438 2 0.285 1.947 0 2.573 0 0.036 1.612 0
"8" 118 0 0.289 2.395 0 2.213 0 0.133 0.76 0
"9" 114 0 0.348 2.295 0 1.907 0 0.107 0.7 0
"10" 182 0 0.296 2.522 0 2.232 0 0.123 1.111 0
"11" 288 0 0.277 2.526 0 2.331 0 0.091 1.113 0
"13" 578 3 0.269 2.452 -0.897 2.6 0 0.078 1.361 0
"14" 106 0 0.354 1.833 0 2.331 0 0.207 0.422 0
"16" 236 0 0.263 1.74 0 2.331 0 0.159 0.76 0
"17" 24 0 0 0.918 0 0.083 0 -0.063 0.129 0
"18" 126 0 0.235 2.35 0 1.994 0 0.144 1.24 0
"20" 193 0 0.237 2.262 0 2.196 0 0.096 1.476 0
"21" 264 1 0.231 2.522 0 2.393 0 0.118 1.5 0
"22" 357 1 0.22 2.623 -1 2.49 0 0.089 1.668 0
"23" 478 6 0.202 2.465 -0.768 2.608 0 0.184 1.432 0
"24" 518 35 0.161 2.277 -0.618 2.524 0 0.215 1.994 0
"25" 12 0 0 0.918 0 0.083 0 0.087 0.054 0
"26" 29 0 0 2.419 0 0.083 0 0.125 0.151 0
"27" 364 1 0.291 3.137 0 2.365 0 0.116 1.225 0
"30" 74 0 0.5 1.922 0 0.781 0 0.209 0.292 0
"32" 148 0 0 1 0 0.083 0 0.042 0 1
"34" 13.877 0 0 1 0 0.083 0 -0.021 0 1
"35" 31.481 0 0 0.811 0 0.858 0 -0.065 0 0
"38" 32.988 0 0 2.156 0 0.925 0 0.044 0.07 0
"41" 61.259 0 0.408 2.5 0 1.802 0 -0.039 0.059 0
"42" 95.086 0 0.354 2.156 0 2.951 0 -0.03 0.068 0
"43" 96.642 0 0.333 1.5 0 2.951 0 -0.061 0.174 0
"44" 139.136 0 0.289 2.156 0 2.951 0 -0.026 0.109 0
"45" 190.296 0 0.25 0.811 0 2.951 0 0.01 0.155 0
"46" 36.272 0 0.5 2.664 0 1.233 0 0.069 0.315 0
"48" 63.432 0 0.408 2.845 0 1.788 0 0.042 0.293 0
"49" 9.69 0 0 1 0 0.083 0 0.14 0 1
"50" 27.246 0 0.5 1.5 0 1.366 0 0.016 0.107 0
"51" 32.623 0 0.5 2.664 0 1.303 0 0.132 0.408 0
"52" 31.364 0 0 1.868 0 1.1 0 0.046 0.282 0
"53" 80.938 0 0 1.5 0 0.083 0 0.007 0 1
"55" 28.351 0 0 1.5 0 0.96 0 -0.056 0 0
"56" 25.221 0 0 1.5 0 1.093 0 0.036 0 0
"57" 150.099 0 0 2.156 0 1.843 0 0.068 0.056 0
"58" 30.894 0 0.5 2.5 0 1.271 0 0.036 0.112 0
"59" 426.938 0 0.354 2.156 0 1.581 0 0.065 0.139 0
"60" 526.988 0 0.289 2.156 0 1.581 0 0.028 0.128 0
"61" 210 0 0 1.918 0 0.083 0 0.092 0.07 0
"62" 27.938 0 0 2.252 0 0.083 0 0.1 0.041 0
"63" 50.988 0 0 1.918 0 0.183 0 0.097 0.011 0
"64" 52.543 0 0.5 1.585 0 0.716 0 0.119 0.044 0
"65" 52.543 0 0.5 1.585 0 0.716 0 0.127 0.058 0
"66" 84.259 0 0.408 2.252 0 1.696 0 0.142 0.044 0
"69" 280.605 0 0.408 2.252 0 1.362 0 0.112 0.067 0
"70" 169 0 0.246 3.096 0 0.979 0 0.073 0.179 0
"71" 86 0 0.5 2.855 0 1.164 0 0.089 0.426 0
"72" 80 0 0 2.126 0 0.946 0 0.08 0.254 0
"74" 128 0 0.408 2.606 0 1.502 0 0.149 0.587 0
"75" 116 0 0 1.688 0 2.006 0 0.108 0.176 0
"76" 212 0 0.319 2.933 0 1.787 0 0.064 0.968 0
"77" 198 0 0.289 2.975 0 2.04 0 0.094 0.684 0
"78" 170 0 0.354 2.363 0 2.048 0 0.125 0.501 0
"79" 106 0 0 1.571 0 0.083 0 0.025 0.338 0
"80" 155 0 0.408 2.815 0 1.554 0 0.01 0.625 0
"81" 228 0 0.289 3.156 0 1.922 0 0.008 0.798 0
"83" 462 0 0.277 3.231 0 2.195 0 0.006 1.224 0
"84" 211 0 0.408 2.595 0 1.095 0 0.13 0.337 0
"85" 292 0 0.289 2.985 0 1.854 0 0.146 0.648 0
"87" 381 0 0.236 2.778 0 2.127 0 0.139 0.595 0
"88" 554 0 0.277 3.346 0 2.127 0 0.174 1.16 0
"89" 526 0 0.264 3.109 0 2.331 0 0.25 0.89 0
"91" 711 0 0.26 3.382 0 2.331 0 0.186 1.01 0
"93" 170 0 0.354 2.057 0 2.331 0 0.213 0.165 0
"94" 242 0 0.25 2.022 0 2.331 0 0.248 0.538 0
"95" 238 0 0.319 2.617 0 2.331 0 0.217 0.552 0
"97" 64 0 0 1.379 0 0.083 0 0.034 0.134 0
"98" 230 0 0.246 2.75 0 0.735 0 0.013 0.087 0
"99" 519.191 0 0.289 2.406 0 1.581 0 0.082 0.119 0
"100" 654.697 0 0.289 2.406 0 1.581 0 0.078 0.2 0
"101" 890 0 0.256 3.027 0 1.581 0 0.155 0.885 0
"104" 2636 0 0.178 2.606 -0.3 2.03 0 0.15 0.636 1
"105" 593.21 0 0.275 2.855 0 2.562 0 0.073 0.72 0
"108" 28.889 0 0 0 0 0 0 -0.011 0 0
"109" 216 0 0.25 1 0 0.94 1.395 0.385 0.676 0
"111" 402 2 0.23 2.774 0 2.448 1.4 0.463 0.736 0
"112" 382 1 0.231 2.419 0 2.282 1.407 0.408 0.597 0
"114" 390 0 0.23 2.197 0 2.384 1.4 0.477 0.743 0
"115" 492 1 0.22 2.39 -1 2.416 1.406 0.45 0.717 0
"116" 642 6 0.202 2.433 -0.768 2.479 1.404 0.451 0.827 0
"117" 448 2 0.23 2.727 0 2.404 1.404 0.459 0.7 0
"118" 567 3 0.219 3.471 -1 2.43 1.403 0.5 0.754 0
"119" 577 2 0.226 3.261 -1 2.617 1.404 0.502 0.768 0
"121" 1515.161 6 0.203 2.79 -0.526 2.617 1.4 0.398 0.775 0
"122" 180 0 0.25 2.281 0 0.683 1.448 0.031 0.141 0
"7" 604 3 0.28 1.906 -0.902 2.714 0 0.027 1.734 0
