"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 0 0 1 0 1 0 0 1 1
"2" 1 1 1 1 1 1 1 1 1 1
"3" 0 0 0 1 0 1 1 0 1 1
---
"V101" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V1"
"1" 0.247 1.7 0.051 44.02 14.67 1.9 3.65 16 0.63 1.22 -0.04
"2" 2.904 11.33 -0.259 86.2 4.31 10.18 19.19 10.33 0.51 0.96 1.06
"3" 3.817 14.85 -0.102 114.26 4.39 13.38 24.95 13.33 0.51 0.96 0.52
"4" 4.729 18.38 -0.058 142.32 4.45 16.58 30.72 16.33 0.52 0.96 0.76
"5" 3.408 14.85 -0.309 114.26 4.39 13.38 24.95 14 0.51 0.96 0.7
"6" 3.493 15.85 -0.302 126.27 4.68 14.38 25.95 14.5 0.53 0.96 0.86
"7" 4.087 15.85 -0.144 126.27 4.68 14.38 25.95 16 0.53 0.96 0.93
"8" 4.543 17.61 -0.162 140.3 4.68 15.98 28.84 17.5 0.53 0.96 1.06
"9" 0.846 3.38 0.017 50.49 10.1 2.9 5.09 6.11 0.58 1.02 0.23
"10" 1.194 5.14 -0.009 64.52 8.07 4.49 7.97 7.61 0.56 1 0.07
"11" 1.002 4.38 -0.053 62.5 10.42 3.9 6.09 9.11 0.65 1.02 0.03
"12" 0.515 6.74 -0.043 70.1 6.37 6.31 10.98 11.33 0.57 1 -0.23
"13" 0.368 6.5 -0.009 60.11 5.01 5.9 11.86 11.33 0.49 0.99 -0.03
"14" 1.427 10.02 -0.052 88.17 4.9 9.1 17.63 14 0.51 0.98 0.41
"15" 0.423 7.5 -0.068 72.12 5.55 6.9 12.86 14.17 0.53 0.99 0.12
"16" 0.879 9.26 -0.032 86.15 5.38 8.5 15.75 15.67 0.53 0.98 0.13
"17" 1.131 11.02 -0.115 100.18 5.27 10.1 18.63 17.5 0.53 0.98 0.23
"18" 0.021 6.19 0.032 74.09 6.74 5.82 11.31 16.17 0.53 1.03 -0.03
"19" 0.37 7.95 -0.039 88.12 6.29 7.41 14.19 17.67 0.53 1.01 0.13
"20" 0.894 9.72 -0.064 102.15 6.01 9.01 17.07 19.17 0.53 1 0.48
"21" 1.142 7.31 0.043 126.09 9.7 7.24 14.4 35.25 0.56 1.11 0.18
"22" 2.534 7.05 0.087 184.5 15.37 7.16 14.75 51.53 0.6 1.23 0.36
"23" 1.018 7.2 0.052 89.11 6.85 6.81 13.41 21.33 0.52 1.03 -0.43
"24" 3.289 13.57 -0.027 120.21 5.72 12.59 20.3 17 0.6 0.97 0.43
"25" 2.382 11.05 -0.036 104.16 6.51 10.39 15.53 16.67 0.65 0.97 0.47
"26" 2.494 9.14 -0.001 112.56 9.38 8.49 11.97 15.78 0.71 1 0.31
"27" 3.437 10.72 -0.112 180.56 12.04 10.43 16.4 40.69 0.7 1.09 0.28
"28" 0.934 5.98 0.039 68.08 7.56 5.71 9.09 11.5 0.63 1.01 -0.05
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 1 1 0 1 1 0 1
"2" 0 0 1 0 1 0 0 0 0 0
"3" 1 1 1 1 0 0 1 1 1 0
"4" 0 1 1 0 0 0 1 1 1 1
"5" 0 0 0 0 1 0 0 1 1 0
"6" 0 0 1 0 1 0 0 1 1 0
"7" 0 1 1 1 1 1 1 1 1 1
"8" 0 0 1 0 0 1 0 1 1 1
"9" 0 0 1 0 1 0 0 0 0 1
"10" 0 1 1 0 0 0 1 0 1 1
"11" 1 0 0 1 1 1 1 1 0 0
"12" 1 1 1 0 1 1 1 1 1 0
"13" 0 1 0 1 0 1 0 1 0 0
"14" 1 0 0 1 1 0 0 1 1 0
"15" 1 1 1 0 1 1 1 0 0 0
"16" 0 1 1 1 0 0 0 1 0 0
"17" 0 1 0 1 1 1 0 0 0 1
"18" 1 0 0 0 0 0 0 1 1 1
"19" 0 1 0 0 0 0 0 1 1 0
"20" 0 1 1 0 0 1 1 0 0 0
"21" 0 0 0 0 0 0 0 1 0 1
"22" 1 0 0 0 0 0 0 0 0 0
"23" 1 0 1 1 0 0 0 1 1 0
"24" 0 0 0 1 0 1 0 0 0 0
"25" 1 1 0 0 0 0 1 1 1 0
"26" 0 1 1 1 1 1 0 1 1 0
"27" 0 1 0 0 0 0 1 1 1 0
"28" 1 0 1 0 0 0 0 1 0 0
"29" 1 0 1 0 1 0 1 0 0 0
"30" 1 0 1 1 0 1 1 0 0 1
---
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 1 0 1 0 1 0 1
"2" 0 0 0 1 1 0 1 0 1 0
"3" 0 1 0 0 0 0 0 0 0 0
"4" 1 1 0 1 1 0 0 0 0 1
"5" 0 1 1 1 1 0 1 1 0 0
"6" 1 1 0 1 1 0 1 0 0 1
"7" 0 1 0 1 1 1 0 0 0 0
"8" 1 0 0 1 1 0 0 0 0 0
"9" 1 0 1 0 1 0 0 0 1 1
"10" 0 1 0 1 0 1 0 1 1 0
"11" 0 1 0 1 0 0 1 1 1 1
"12" 1 1 0 1 0 1 0 0 0 0
"13" 1 0 1 0 0 0 0 0 1 1
"14" 1 1 0 1 0 0 0 0 1 1
"15" 1 1 1 0 0 0 0 0 0 1
"16" 0 0 1 1 1 0 1 1 1 0
"17" 1 1 1 0 1 0 0 0 1 0
"18" 1 1 1 1 0 1 0 0 1 0
"19" 0 0 1 0 0 0 0 1 1 0
"20" 1 0 1 1 0 1 1 1 1 1
"21" 1 0 1 0 1 0 0 0 0 1
"22" 1 1 0 1 1 1 1 0 0 0
"23" 1 0 1 0 0 0 0 1 1 0
"24" 0 1 1 0 0 1 1 0 0 0
"25" 1 0 1 0 1 0 1 0 1 0
"26" 0 0 0 0 1 0 0 0 0 1
"27" 1 0 0 0 0 1 1 1 1 1
"28" 1 0 1 0 1 1 0 0 0 1
"29" 0 1 0 1 1 1 0 1 0 0
"30" 0 0 1 0 0 0 1 0 1 0
---
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 1 1 1 0 0 1 1 1 1
"2" 0 0 1 1 0 0 1 1 0 0
"3" 0 1 1 0 0 0 0 1 1 1
"4" 0 1 1 0 0 0 0 0 0 0
"5" 0 0 1 1 1 1 0 0 1 1
"6" 1 0 1 0 1 0 1 0 0 0
"7" 0 0 1 1 0 0 1 1 0 0
"8" 1 1 1 0 1 1 1 0 1 0
"9" 1 0 1 0 0 0 0 0 1 1
"10" 0 1 1 1 1 0 1 1 0 0
"11" 1 1 0 1 1 1 0 1 0 0
"12" 0 0 0 0 1 0 0 0 0 1
"13" 0 1 1 0 1 1 0 0 1 1
"14" 0 0 1 0 1 1 1 0 1 0
"15" 1 0 0 1 0 0 1 1 0 1
"16" 0 1 0 1 1 0 0 0 0 0
"17" 1 1 1 1 1 0 0 1 0 1
"18" 1 0 1 0 0 1 1 1 0 0
"19" 1 1 0 1 0 0 1 1 1 1
"20" 1 1 1 1 0 0 1 0 0 1
"21" 1 1 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 1 1 1 1 1
"23" 0 1 0 1 1 1 1 0 0 0
"24" 1 1 1 1 1 1 1 1 1 0
"25" 1 1 0 1 0 1 1 1 0 0
"26" 1 0 1 1 1 1 1 1 1 1
"27" 1 0 0 1 1 0 1 0 1 0
"28" 0 0 1 0 0 0 0 1 1 0
"29" 1 1 0 0 0 1 0 1 1 0
"30" 0 1 1 0 1 0 0 0 0 0
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 1 1 0 0 1 1 1
"2" 1 1 0 1 1 0 0 1 1 0
"3" 1 1 0 1 0 1 0 0 0 1
"4" 0 0 0 0 1 1 1 0 1 1
"5" 0 1 0 1 1 0 1 0 0 0
"6" 1 0 1 1 1 0 1 1 0 0
"7" 0 0 1 1 0 1 0 0 1 1
"8" 1 1 0 0 1 0 1 1 0 1
"9" 0 0 0 0 1 0 1 0 0 1
"10" 0 1 0 1 0 1 1 0 1 1
"11" 0 0 0 1 1 1 0 1 1 0
"12" 1 0 0 1 0 0 0 0 1 1
"13" 0 0 1 0 0 1 0 1 1 0
"14" 1 1 0 0 1 1 1 0 1 0
"15" 1 0 0 0 1 0 0 0 0 1
"16" 0 0 0 1 1 0 0 1 1 1
"17" 0 0 1 0 1 1 0 1 1 1
"18" 0 0 1 1 1 0 0 1 0 1
"19" 1 1 0 1 1 1 0 1 0 0
"20" 1 1 0 0 0 0 0 0 0 0
"21" 1 0 0 1 1 0 1 0 0 1
"22" 0 1 0 0 0 0 0 1 1 1
"23" 0 1 0 0 1 0 1 1 0 0
"24" 1 1 0 1 0 0 0 1 0 0
"25" 1 1 1 0 1 0 1 0 0 0
"26" 0 0 0 0 1 0 0 1 0 0
"27" 1 1 1 1 0 1 1 0 0 0
"28" 0 1 1 1 1 1 0 1 0 1
"29" 1 0 1 0 1 0 0 0 0 0
"30" 0 1 0 1 0 1 0 0 0 1
