"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 1 1 0 1 1 0 1
"2" 0 0 1 0 1 0 0 0 0 0
"3" 1 1 1 1 0 0 1 1 1 0
"4" 0 1 1 0 0 0 1 1 1 1
"5" 0 0 0 0 1 0 0 1 1 0
"6" 0 0 1 0 1 0 0 1 1 0
"7" 0 1 1 1 1 1 1 1 1 1
"8" 0 0 1 0 0 1 0 1 1 1
"9" 0 0 1 0 1 0 0 0 0 1
"10" 0 1 1 0 0 0 1 0 1 1
"11" 1 0 0 1 1 1 1 1 0 0
"12" 1 1 1 0 1 1 1 1 1 0
"13" 0 1 0 1 0 1 0 1 0 0
"14" 1 0 0 1 1 0 0 1 1 0
"15" 1 1 1 0 1 1 1 0 0 0
"16" 0 1 1 1 0 0 0 1 0 0
"17" 0 1 0 1 1 1 0 0 0 1
"18" 1 0 0 0 0 0 0 1 1 1
"19" 0 1 0 0 0 0 0 1 1 0
"20" 0 1 1 0 0 1 1 0 0 0
"21" 0 0 0 0 0 0 0 1 0 1
"22" 1 0 0 0 0 0 0 0 0 0
"23" 1 0 1 1 0 0 0 1 1 0
"24" 0 0 0 1 0 1 0 0 0 0
"25" 1 1 0 0 0 0 1 1 1 0
"26" 0 1 1 1 1 1 0 1 1 0
"27" 0 1 0 0 0 0 1 1 1 0
"28" 1 0 1 0 0 0 0 1 0 0
"29" 1 0 1 0 1 0 1 0 0 0
"30" 1 0 1 1 0 1 1 0 0 1
---
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 1 0 1 0 1 0 1
"2" 0 0 0 1 1 0 1 0 1 0
"3" 0 1 0 0 0 0 0 0 0 0
"4" 1 1 0 1 1 0 0 0 0 1
"5" 0 1 1 1 1 0 1 1 0 0
"6" 1 1 0 1 1 0 1 0 0 1
"7" 0 1 0 1 1 1 0 0 0 0
"8" 1 0 0 1 1 0 0 0 0 0
"9" 1 0 1 0 1 0 0 0 1 1
"10" 0 1 0 1 0 1 0 1 1 0
"11" 0 1 0 1 0 0 1 1 1 1
"12" 1 1 0 1 0 1 0 0 0 0
"13" 1 0 1 0 0 0 0 0 1 1
"14" 1 1 0 1 0 0 0 0 1 1
"15" 1 1 1 0 0 0 0 0 0 1
"16" 0 0 1 1 1 0 1 1 1 0
"17" 1 1 1 0 1 0 0 0 1 0
"18" 1 1 1 1 0 1 0 0 1 0
"19" 0 0 1 0 0 0 0 1 1 0
"20" 1 0 1 1 0 1 1 1 1 1
"21" 1 0 1 0 1 0 0 0 0 1
"22" 1 1 0 1 1 1 1 0 0 0
"23" 1 0 1 0 0 0 0 1 1 0
"24" 0 1 1 0 0 1 1 0 0 0
"25" 1 0 1 0 1 0 1 0 1 0
"26" 0 0 0 0 1 0 0 0 0 1
"27" 1 0 0 0 0 1 1 1 1 1
"28" 1 0 1 0 1 1 0 0 0 1
"29" 0 1 0 1 1 1 0 1 0 0
"30" 0 0 1 0 0 0 1 0 1 0
---
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 1 1 1 0 0 1 1 1 1
"2" 0 0 1 1 0 0 1 1 0 0
"3" 0 1 1 0 0 0 0 1 1 1
"4" 0 1 1 0 0 0 0 0 0 0
"5" 0 0 1 1 1 1 0 0 1 1
"6" 1 0 1 0 1 0 1 0 0 0
"7" 0 0 1 1 0 0 1 1 0 0
"8" 1 1 1 0 1 1 1 0 1 0
"9" 1 0 1 0 0 0 0 0 1 1
"10" 0 1 1 1 1 0 1 1 0 0
"11" 1 1 0 1 1 1 0 1 0 0
"12" 0 0 0 0 1 0 0 0 0 1
"13" 0 1 1 0 1 1 0 0 1 1
"14" 0 0 1 0 1 1 1 0 1 0
"15" 1 0 0 1 0 0 1 1 0 1
"16" 0 1 0 1 1 0 0 0 0 0
"17" 1 1 1 1 1 0 0 1 0 1
"18" 1 0 1 0 0 1 1 1 0 0
"19" 1 1 0 1 0 0 1 1 1 1
"20" 1 1 1 1 0 0 1 0 0 1
"21" 1 1 0 0 0 0 0 0 0 0
"22" 0 0 0 0 0 1 1 1 1 1
"23" 0 1 0 1 1 1 1 0 0 0
"24" 1 1 1 1 1 1 1 1 1 0
"25" 1 1 0 1 0 1 1 1 0 0
"26" 1 0 1 1 1 1 1 1 1 1
"27" 1 0 0 1 1 0 1 0 1 0
"28" 0 0 1 0 0 0 0 1 1 0
"29" 1 1 0 0 0 1 0 1 1 0
"30" 0 1 1 0 1 0 0 0 0 0
0 1 0 0 0
0 1 1 1 0
Coeficiente de Correlación: 
0.6156558
Mean Absolute Error: 
0.275119
1 0 1 1 0
1 1 1 1 1
Coeficiente de Correlación: 
0.5211491
Mean Absolute Error: 
0.2814286
0 0 1 0 1
1 1 0 1 0
Coeficiente de Correlación: 
0.6739951
Mean Absolute Error: 
0.2233929
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 1 0 1 1 1 0 1 0
"2" 0 1 0 0 0 0 1 1 1 0
"3" 1 0 1 1 0 1 1 1 1 1
"V1" "V2"
"1" 3 0.673995065524972
"2" 1 0.615655795456383
"3" 2 0.521149067880798
---
"ALOGP" "Sp" "Mor29u" "MW" "AMW" "Sv" "Se" "Ss" "Pol" "Mv" "V1"
"1" 2.653 9.57 -0.028 72.17 4.25 8.59 16.3 8.5 0.51 0.96 0.61
"2" 3.109 11.33 -0.046 86.2 4.31 10.18 19.19 10 0.51 0.96 0.48
"3" 3.565 13.09 -0.053 100.23 4.36 11.78 22.07 11.5 0.51 0.96 0.46
