"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0 0 0 1 1 0 1 1 0 1
"2" 0 0 1 0 1 0 0 0 0 0
"3" 1 1 1 1 0 0 1 1 1 0
"4" 0 1 1 0 0 0 1 1 1 1
"5" 0 0 0 0 1 0 0 1 1 0
"6" 0 0 1 0 1 0 0 1 1 0
"7" 0 1 1 1 1 1 1 1 1 1
"8" 0 0 1 0 0 1 0 1 1 1
"9" 0 0 1 0 1 0 0 0 0 1
"10" 0 1 1 0 0 0 1 0 1 1
"11" 1 0 0 1 1 1 1 1 0 0
"12" 1 1 1 0 1 1 1 1 1 0
"13" 0 1 0 1 0 1 0 1 0 0
"14" 1 0 0 1 1 0 0 1 1 0
"15" 1 1 1 0 1 1 1 0 0 0
"16" 0 1 1 1 0 0 0 1 0 0
"17" 0 1 0 1 1 1 0 0 0 1
"18" 1 0 0 0 0 0 0 1 1 1
"19" 0 1 0 0 0 0 0 1 1 0
"20" 0 1 1 0 0 1 1 0 0 0
"21" 0 0 0 0 0 0 0 1 0 1
"22" 1 0 0 0 0 0 0 0 0 0
"23" 1 0 1 1 0 0 0 1 1 0
"24" 0 0 0 1 0 1 0 0 0 0
"25" 1 1 0 0 0 0 1 1 1 0
"26" 0 1 1 1 1 1 0 1 1 0
"27" 0 1 0 0 0 0 1 1 1 0
"28" 1 0 1 0 0 0 0 1 0 0
"29" 1 0 1 0 1 0 1 0 0 0
"30" 1 0 1 1 0 1 1 0 0 1
"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 0 0 0 1 0 1 0 1 0
"2" 2 0 0 0 1 1 0 1 0 1
"3" 3 0 1 0 0 0 0 0 0 0
"4" 4 1 1 0 1 1 0 0 0 0
"5" 5 0 1 1 1 1 0 1 1 0
"6" 6 1 1 0 1 1 0 1 0 0
"7" 7 0 1 0 1 1 1 0 0 0
"8" 8 1 0 0 1 1 0 0 0 0
"9" 9 1 0 1 0 1 0 0 0 1
"10" 10 0 1 0 1 0 1 0 1 1
"11" 11 0 1 0 1 0 0 1 1 1
"12" 12 1 1 0 1 0 1 0 0 0
"13" 13 1 0 1 0 0 0 0 0 1
"14" 14 1 1 0 1 0 0 0 0 1
"15" 15 1 1 1 0 0 0 0 0 0
"16" 16 0 0 1 1 1 0 1 1 1
"17" 17 1 1 1 0 1 0 0 0 1
"18" 18 1 1 1 1 0 1 0 0 1
"19" 19 0 0 1 0 0 0 0 1 1
"20" 20 1 0 1 1 0 1 1 1 1
"21" 21 1 0 1 0 1 0 0 0 0
"22" 22 1 1 0 1 1 1 1 0 0
"23" 23 1 0 1 0 0 0 0 1 1
"24" 24 0 1 1 0 0 1 1 0 0
"25" 25 1 0 1 0 1 0 1 0 1
"26" 26 0 0 0 0 1 0 0 0 0
"27" 27 1 0 0 0 0 1 1 1 1
"28" 28 1 0 1 0 1 1 0 0 0
"29" 29 0 1 0 1 1 1 0 1 0
"30" 30 0 0 1 0 0 0 1 0 1
"31" NA NA NA NA NA NA NA NA NA NA
"32" 1 1 1 1 0 0 1 1 1 1
"33" 0 0 1 1 0 0 1 1 0 0
"34" 0 1 1 0 0 0 0 1 1 1
"35" 0 1 1 0 0 0 0 0 0 0
"36" 0 0 1 1 1 1 0 0 1 1
"37" 1 0 1 0 1 0 1 0 0 0
"38" 0 0 1 1 0 0 1 1 0 0
"39" 1 1 1 0 1 1 1 0 1 0
"40" 1 0 1 0 0 0 0 0 1 1
"41" 0 1 1 1 1 0 1 1 0 0
"42" 1 1 0 1 1 1 0 1 0 0
"43" 0 0 0 0 1 0 0 0 0 1
"44" 0 1 1 0 1 1 0 0 1 1
"45" 0 0 1 0 1 1 1 0 1 0
"46" 1 0 0 1 0 0 1 1 0 1
"47" 0 1 0 1 1 0 0 0 0 0
"48" 1 1 1 1 1 0 0 1 0 1
"49" 1 0 1 0 0 1 1 1 0 0
"50" 1 1 0 1 0 0 1 1 1 1
"51" 1 1 1 1 0 0 1 0 0 1
"52" 1 1 0 0 0 0 0 0 0 0
"53" 0 0 0 0 0 1 1 1 1 1
"54" 0 1 0 1 1 1 1 0 0 0
"55" 1 1 1 1 1 1 1 1 1 0
"56" 1 1 0 1 0 1 1 1 0 0
"57" 1 0 1 1 1 1 1 1 1 1
"58" 1 0 0 1 1 0 1 0 1 0
"59" 0 0 1 0 0 0 0 1 1 0
"60" 1 1 0 0 0 1 0 1 1 0
"61" 0 1 1 0 1 0 0 0 0 0
