"V1" "V2"
"1" 1 0.442686
"2" 1 0.3953643
"3" 1 0.5559756
"4" 1 0.6988117
"5" 1 0.4006492
"6" 1 0.2079435
"7" 1 0.4338406
"8" 1 0.2796631
"9" 1 0.4455338
"10" 1 0.3911658
"11" 2 0.1759806
"12" 2 0.05051958
"13" 2 0.6154131
"14" 2 0.09552602
"15" 2 0.1583677
"16" 2 0.1003138
"17" 2 0.04096307
"18" 2 0.248679
"19" 2 0.01730182
"20" 2 0.590868
"21" 3 0.1854376
"22" 3 0.2778127
"23" 3 0.2338499
"24" 3 0.1848482
"25" 3 0.2729654
"26" 3 0.6317339
"27" 3 0.1644566
"28" 3 0.5256562
"29" 3 0.01276648
"30" 3 0.4589561
